station_name,date,count
103RD ST-CENTRAL PARK WEST,2012-04-13,26939
103RD ST-CENTRAL PARK WEST,2012-04-20,29994
103RD ST-CENTRAL PARK WEST,2012-04-27,29058
103RD ST-CENTRAL PARK WEST,2012-05-04,29627
103RD ST-CENTRAL PARK WEST,2012-05-11,29774
103RD ST-CENTRAL PARK WEST,2012-05-18,26141
103RD ST-CENTRAL PARK WEST,2012-05-25,30088
103RD ST-CENTRAL PARK WEST,2012-06-01,26656
103RD ST-CENTRAL PARK WEST,2012-06-08,29666
103RD ST-CENTRAL PARK WEST,2012-06-15,28786
103RD ST-CENTRAL PARK WEST,2012-06-22,28735
103RD ST-CENTRAL PARK WEST,2012-06-29,29011
103RD ST-CENTRAL PARK WEST,2012-07-06,26089
103RD ST-CENTRAL PARK WEST,2012-07-13,27965
103RD ST-CENTRAL PARK WEST,2012-07-20,27452
103RD ST-CENTRAL PARK WEST,2012-07-27,27503
103RD ST-CENTRAL PARK WEST,2012-08-03,27334
103RD ST-CENTRAL PARK WEST,2012-08-10,27547
103RD ST-CENTRAL PARK WEST,2012-08-17,27026
103RD ST-CENTRAL PARK WEST,2012-08-24,26981
103RD ST-CENTRAL PARK WEST,2012-08-31,26807
103RD ST-CENTRAL PARK WEST,2012-09-07,25460
103RD ST-CENTRAL PARK WEST,2012-09-14,28363
103RD ST-CENTRAL PARK WEST,2012-09-21,27296
103RD ST-CENTRAL PARK WEST,2012-09-28,28204
103RD ST-ROOSEVELT AVE,2010-06-04,98495
103RD ST-ROOSEVELT AVE,2010-06-11,102538
103RD ST-ROOSEVELT AVE,2010-06-18,101708
103RD ST-ROOSEVELT AVE,2010-06-25,100795
103RD ST-ROOSEVELT AVE,2010-07-02,101089
103RD ST-ROOSEVELT AVE,2010-07-09,97548
103RD ST-ROOSEVELT AVE,2010-07-16,102176
103RD ST-ROOSEVELT AVE,2010-07-23,101866
103RD ST-ROOSEVELT AVE,2010-07-30,99763
103RD ST-ROOSEVELT AVE,2010-08-06,98025
103RD ST-ROOSEVELT AVE,2010-08-13,100264
103RD ST-ROOSEVELT AVE,2010-08-20,95839
103RD ST-ROOSEVELT AVE,2010-08-27,96582
103RD ST-ROOSEVELT AVE,2010-09-03,102266
103RD ST-ROOSEVELT AVE,2010-09-10,97294
103RD ST-ROOSEVELT AVE,2010-09-17,100636
103RD ST-ROOSEVELT AVE,2010-09-24,101932
103RD ST-ROOSEVELT AVE,2010-10-01,94660
103RD ST-ROOSEVELT AVE,2010-10-08,100005
103RD ST-ROOSEVELT AVE,2010-10-15,97409
103RD ST-ROOSEVELT AVE,2010-10-22,100016
103RD ST-ROOSEVELT AVE,2010-10-29,99442
103RD ST-ROOSEVELT AVE,2010-11-05,97751
103RD ST-ROOSEVELT AVE,2010-11-12,98113
103RD ST-ROOSEVELT AVE,2010-11-19,99453
103RD ST-ROOSEVELT AVE,2010-11-26,91036
103RD ST-ROOSEVELT AVE,2010-12-03,98477
103RD ST-ROOSEVELT AVE,2010-12-10,96345
103RD ST-ROOSEVELT AVE,2010-12-17,97618
103RD ST-ROOSEVELT AVE,2010-12-24,97435
103RD ST-ROOSEVELT AVE,2010-12-31,85847
103RD ST-ROOSEVELT AVE,2011-01-07,93239
103RD ST-ROOSEVELT AVE,2011-01-14,95802
103RD ST-ROOSEVELT AVE,2011-01-21,95745
103RD ST-ROOSEVELT AVE,2011-01-28,95339
103RD ST-ROOSEVELT AVE,2011-02-04,102021
103RD ST-ROOSEVELT AVE,2011-02-11,102227
103RD ST-ROOSEVELT AVE,2011-02-18,104099
103RD ST-ROOSEVELT AVE,2011-02-25,99044
103RD ST-ROOSEVELT AVE,2011-03-04,102617
103RD ST-ROOSEVELT AVE,2011-03-11,101634
103RD ST-ROOSEVELT AVE,2011-03-18,104377
103RD ST-ROOSEVELT AVE,2011-03-25,104033
103RD ST-ROOSEVELT AVE,2011-04-01,101429
103RD ST-ROOSEVELT AVE,2011-04-08,101273
103RD ST-ROOSEVELT AVE,2011-04-15,104742
103RD ST-ROOSEVELT AVE,2011-04-22,101601
103RD ST-ROOSEVELT AVE,2011-04-29,100237
103RD ST-ROOSEVELT AVE,2011-05-06,105687
103RD ST-ROOSEVELT AVE,2011-05-20,103364
103RD ST-ROOSEVELT AVE,2011-05-27,105561
103RD ST-ROOSEVELT AVE,2011-06-03,96754
103RD ST-ROOSEVELT AVE,2011-06-10,101781
103RD ST-ROOSEVELT AVE,2011-06-17,103882
103RD ST-ROOSEVELT AVE,2011-06-24,105492
103RD ST-ROOSEVELT AVE,2011-07-01,106830
103RD ST-ROOSEVELT AVE,2011-07-08,100444
103RD ST-ROOSEVELT AVE,2011-07-15,107205
103RD ST-ROOSEVELT AVE,2011-07-22,106327
103RD ST-ROOSEVELT AVE,2011-07-29,105067
103RD ST-ROOSEVELT AVE,2011-08-05,106113
103RD ST-ROOSEVELT AVE,2011-08-12,106072
103RD ST-ROOSEVELT AVE,2011-08-19,103213
103RD ST-ROOSEVELT AVE,2011-08-26,105799
103RD ST-ROOSEVELT AVE,2011-09-02,85594
103RD ST-ROOSEVELT AVE,2011-09-09,101909
103RD ST-ROOSEVELT AVE,2011-09-16,114091
103RD ST-ROOSEVELT AVE,2011-09-23,113583
103RD ST-ROOSEVELT AVE,2011-09-30,85399
103RD ST-ROOSEVELT AVE,2011-10-07,115287
103RD ST-ROOSEVELT AVE,2011-10-14,111058
103RD ST-ROOSEVELT AVE,2011-10-21,115067
103RD ST-ROOSEVELT AVE,2011-10-28,115951
103RD ST-ROOSEVELT AVE,2011-11-04,112744
103RD ST-ROOSEVELT AVE,2011-11-11,113899
103RD ST-ROOSEVELT AVE,2011-11-18,115741
103RD ST-ROOSEVELT AVE,2011-11-25,103993
103RD ST-ROOSEVELT AVE,2011-12-02,114177
103RD ST-ROOSEVELT AVE,2011-12-09,114847
103RD ST-ROOSEVELT AVE,2011-12-16,116280
103RD ST-ROOSEVELT AVE,2011-12-23,115120
103RD ST-ROOSEVELT AVE,2011-12-30,97620
103RD ST-ROOSEVELT AVE,2012-01-06,98270
103RD ST-ROOSEVELT AVE,2012-01-13,109285
103RD ST-ROOSEVELT AVE,2012-01-20,105463
103RD ST-ROOSEVELT AVE,2012-01-27,106831
103RD ST-ROOSEVELT AVE,2012-02-03,113088
103RD ST-ROOSEVELT AVE,2012-02-10,114042
103RD ST-ROOSEVELT AVE,2012-02-17,112538
103RD ST-ROOSEVELT AVE,2012-02-24,106597
103RD ST-ROOSEVELT AVE,2012-03-02,112680
103RD ST-ROOSEVELT AVE,2012-03-09,114216
103RD ST-ROOSEVELT AVE,2012-03-16,114831
103RD ST-ROOSEVELT AVE,2012-03-23,116022
103RD ST-ROOSEVELT AVE,2012-03-30,85018
103RD ST-ROOSEVELT AVE,2012-04-06,112367
103RD ST-ROOSEVELT AVE,2012-04-13,109651
103RD ST-ROOSEVELT AVE,2012-04-20,114643
103RD ST-ROOSEVELT AVE,2012-04-27,114504
103RD ST-ROOSEVELT AVE,2012-05-04,110814
103RD ST-ROOSEVELT AVE,2012-05-11,115805
103RD ST-ROOSEVELT AVE,2012-05-18,98846
103RD ST-ROOSEVELT AVE,2012-05-25,113089
103RD ST-ROOSEVELT AVE,2012-06-01,109752
103RD ST-ROOSEVELT AVE,2012-06-08,112649
103RD ST-ROOSEVELT AVE,2012-06-15,103515
103RD ST-ROOSEVELT AVE,2012-06-22,103100
103RD ST-ROOSEVELT AVE,2012-06-29,109029
103RD ST-ROOSEVELT AVE,2012-07-06,102478
103RD ST-ROOSEVELT AVE,2012-07-13,109523
103RD ST-ROOSEVELT AVE,2012-07-20,107495
103RD ST-ROOSEVELT AVE,2012-07-27,109540
103RD ST-ROOSEVELT AVE,2012-08-03,108245
103RD ST-ROOSEVELT AVE,2012-08-10,107074
103RD ST-ROOSEVELT AVE,2012-08-17,108691
103RD ST-ROOSEVELT AVE,2012-08-24,109039
103RD ST-ROOSEVELT AVE,2012-08-31,110140
103RD ST-ROOSEVELT AVE,2012-09-07,104896
103RD ST-ROOSEVELT AVE,2012-09-14,109031
103RD ST-ROOSEVELT AVE,2012-09-21,103505
103RD ST-ROOSEVELT AVE,2012-09-28,109527
103RD STREET-BROADWAY,2010-06-04,73241
103RD STREET-BROADWAY,2010-06-11,79563
103RD STREET-BROADWAY,2010-06-18,79785
103RD STREET-BROADWAY,2010-06-25,73386
103RD STREET-BROADWAY,2010-07-02,65785
103RD STREET-BROADWAY,2010-07-09,58498
103RD STREET-BROADWAY,2010-07-16,60093
103RD STREET-BROADWAY,2010-07-23,58619
103RD STREET-BROADWAY,2010-07-30,57240
103RD STREET-BROADWAY,2010-08-06,72147
103RD STREET-BROADWAY,2010-08-13,73635
103RD STREET-BROADWAY,2010-08-20,72178
103RD STREET-BROADWAY,2010-08-27,72880
103RD STREET-BROADWAY,2010-09-03,74530
103RD STREET-BROADWAY,2010-09-10,72075
103RD STREET-BROADWAY,2010-09-17,80004
103RD STREET-BROADWAY,2010-09-24,61777
103RD STREET-BROADWAY,2010-10-01,60106
103RD STREET-BROADWAY,2010-10-08,78611
103RD STREET-BROADWAY,2010-10-15,76689
103RD STREET-BROADWAY,2010-10-22,80079
103RD STREET-BROADWAY,2010-10-29,79798
103RD STREET-BROADWAY,2010-11-05,79965
103RD STREET-BROADWAY,2010-11-12,79420
103RD STREET-BROADWAY,2010-11-19,74937
103RD STREET-BROADWAY,2010-11-26,69151
103RD STREET-BROADWAY,2010-12-03,76244
103RD STREET-BROADWAY,2010-12-10,82714
103RD STREET-BROADWAY,2010-12-17,82071
103RD STREET-BROADWAY,2010-12-24,76495
103RD STREET-BROADWAY,2010-12-31,65363
103RD STREET-BROADWAY,2011-01-07,75637
103RD STREET-BROADWAY,2011-01-14,76237
103RD STREET-BROADWAY,2011-01-21,74492
103RD STREET-BROADWAY,2011-01-28,75589
103RD STREET-BROADWAY,2011-02-04,80067
103RD STREET-BROADWAY,2011-02-11,79758
103RD STREET-BROADWAY,2011-02-18,78404
103RD STREET-BROADWAY,2011-02-25,76191
103RD STREET-BROADWAY,2011-03-04,79650
103RD STREET-BROADWAY,2011-03-11,81451
103RD STREET-BROADWAY,2011-03-18,63005
103RD STREET-BROADWAY,2011-03-25,80914
